image_path,dataset_source,split,folder_label,super_label,is_skin,image_quality,brightness_mean,contrast_std,width,height,needs_review,label_source,label_status,human_verified
../archive (3)/123123.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,150.71,14.09,1372,1250,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/123123as.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,132.93,21.65,613,403,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/123124.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,118.70,19.75,1425,1287,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/12312412.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,200.90,12.56,187,86,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/123321.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,116.09,6.82,961,578,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/123412eascxz.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,138.90,17.66,606,989,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/1234132.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,111.65,14.41,717,870,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/123413245235sf.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,195.66,16.00,581,368,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/123413561.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,154.31,15.88,1264,1255,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/123445.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,164.34,7.01,1251,1080,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/1234q3das.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,167.06,20.33,613,560,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/1234qdascz.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,185.30,23.33,586,540,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/12363.jpg,../archive (3),test,normal_skin,normal_skin,yes,poor,135.74,11.86,1045,1206,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/123asdczxa1.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,167.99,18.36,516,527,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/123eascxxzc.jpg,../archive (3),test,normal_skin,normal_skin,yes,fair,138.83,25.73,578,580,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/132414.jpg,../archive (3),test,normal_skin,normal_skin,yes,poor,140.24,11.25,1036,1520,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/132467345.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,108.45,7.95,655,830,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/134325634276.jpg,../archive (3),test,normal_skin,normal_skin,yes,poor,131.84,11.81,933,857,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/134356.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,146.50,9.43,866,861,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/13q24.jpg,../archive (3),test,normal_skin,normal_skin,yes,poor,104.98,8.35,924,923,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/1456264.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,133.68,11.73,646,731,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/2.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,144.53,7.65,878,878,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/2134.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,109.60,10.12,656,454,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/23141324.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,114.16,10.15,893,745,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/23214132.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,130.24,7.96,1233,1112,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/23432rwef.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,135.40,22.38,741,591,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/31241325.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,160.00,20.56,354,456,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/31241351.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,109.61,22.30,1188,1054,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/3124s.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,151.11,17.47,927,765,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/312asd.jpg,../archive (3),test,normal_skin,normal_skin,yes,fair,172.52,19.21,448,329,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/3141.jpg,../archive (3),test,normal_skin,normal_skin,yes,poor,119.10,7.55,704,505,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/321412.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,120.20,6.22,1033,809,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/321431255.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,103.18,15.51,1138,852,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/321465521.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,165.84,6.78,673,628,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/324.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,136.81,8.90,951,1076,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/32412.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,116.01,13.33,956,1242,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/324qw.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,165.54,8.57,923,927,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/325423456354fgd.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,140.93,25.70,500,449,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/3321234.jpg,../archive (3),test,normal_skin,normal_skin,yes,poor,128.55,10.75,1502,1268,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/3324.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,137.08,6.96,1165,955,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/34.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,133.05,9.33,1187,1513,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/3412.jpg,../archive (3),test,normal_skin,normal_skin,yes,poor,165.54,9.58,1447,1068,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/3432153125.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,149.33,12.83,807,884,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/345325.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,121.46,12.02,1076,924,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/34cvfsdv.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,169.91,25.47,556,488,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/3fdg6hg.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,163.19,22.35,633,674,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/41324.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,145.98,6.90,812,723,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/4321.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,109.97,6.62,596,416,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/432141.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,219.98,8.26,80,51,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/4324.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,138.31,6.78,1250,583,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/4325.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,133.75,6.56,1233,1287,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/43256245.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,121.82,15.02,615,772,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/432sdcxvxcv.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,136.48,25.26,788,643,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/556446.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,121.68,13.48,667,491,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/55646.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,87.87,9.49,619,736,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/5634.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,164.03,10.30,984,721,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/563456gh.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,185.32,19.13,466,421,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/56gfd4.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,166.36,22.54,596,551,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/56ytgre.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,174.24,19.50,583,574,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/67746.jpg,../archive (3),test,normal_skin,normal_skin,yes,poor,137.46,10.84,1300,1197,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/785.jpg,../archive (3),test,normal_skin,normal_skin,yes,poor,151.23,14.36,1295,1211,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/7868.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,116.01,11.57,1399,1041,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/78ht.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,184.77,14.45,534,391,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_142744.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,147.93,20.87,1254,1250,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_142901.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,159.25,22.64,1017,986,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143005.jpg,../archive (3),test,normal_skin,normal_skin,yes,poor,159.09,15.73,1000,1031,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143043.jpg,../archive (3),test,normal_skin,normal_skin,yes,fair,135.91,20.61,1083,1234,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143113.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,153.09,22.12,1121,1020,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143134.jpg,../archive (3),test,normal_skin,normal_skin,yes,fair,145.17,23.33,975,876,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143155.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,152.21,20.68,1218,950,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143301.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,161.29,24.33,1254,1250,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143347.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,161.29,24.33,1254,1250,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143532.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,165.68,18.75,1061,1241,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143658.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,175.74,14.64,1147,1325,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143722.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,167.50,11.65,1321,1323,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143729.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,181.65,11.79,1321,1323,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143749.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,167.46,13.26,1330,1139,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143757.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,181.54,12.86,1330,1139,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143900.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,170.68,10.37,1142,1141,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_143908.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,184.93,10.15,1142,1141,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_144051.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,164.58,10.01,1070,1181,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/IMG_20230623_144057.jpg,../archive (3),test,normal_skin,normal_skin,yes,poor,179.01,10.17,1070,1181,no,dataset_override_normal_skin,auto_complete,no
